Front,Back,Category
"=SUM(A1:A10)","Adds all values in range A1 to A10",Formulas
"=AVERAGE(B1:B20)","Returns the arithmetic mean of the range",Formulas
"=COUNT(C1:C100)","Counts cells containing numbers",Formulas
"=COUNTA(C1:C100)","Counts non-empty cells",Formulas
"=MAX(D1:D50)","Returns the largest value in range",Formulas
"=MIN(D1:D50)","Returns the smallest value in range",Formulas
"=SUMIF(A:A,""North"",B:B)","Sums B where A equals 'North'",Formulas
"=SUMIFS(C:C,A:A,""North"",B:B,">100")","Sums C where A='North' AND B>100",Formulas
"=COUNTIF(A:A,""Yes"")","Counts cells equal to 'Yes'",Formulas
"=IF(A1>100,""High"",""Low"")","Returns 'High' if A1>100, else 'Low'",Formulas
"=IFS(A1>90,""A"",A1>80,""B"",A1>70,""C"",TRUE,""F"")","Multiple conditions without nesting",Formulas
"=VLOOKUP(lookup_value,table,col_index,FALSE)","Vertical lookup; FALSE for exact match",Formulas
"=HLOOKUP(lookup_value,table,row_index,FALSE)","Horizontal lookup across rows",Formulas
"=INDEX(range,MATCH(lookup,lookup_range,0))","Flexible lookup; more powerful than VLOOKUP",Formulas
"=XLOOKUP(lookup,lookup_array,return_array)","Modern lookup; replaces VLOOKUP/INDEX-MATCH",Formulas
"=XLOOKUP(lookup,range,default,0,-1)","XLOOKUP with default value and search last-to-first",Formulas
"=FILTER(A2:C100,B2:B100>100)","Returns rows where column B > 100 (dynamic array)",Formulas
"=SORT(A2:D100,3,-1)","Sorts by column 3 in descending order",Formulas
"=UNIQUE(A2:A100)","Returns unique values from range",Formulas
"=LEFT(A1,5)","Extracts first 5 characters from text",Text Functions
"=RIGHT(A1,3)","Extracts last 3 characters from text",Text Functions
"=MID(A1,3,4)","Extracts 4 characters starting at position 3",Text Functions
"=LEN(A1)","Returns number of characters in cell",Text Functions
"=TRIM(A1)","Removes leading/trailing/extra spaces",Text Functions
"=UPPER(A1) / LOWER(A1) / PROPER(A1)","Converts text case",Text Functions
"=CONCATENATE(A1,"" "",B1)","Joins text strings (old method)",Text Functions
"=A1&"" ""&B1","Joins text with ampersand operator",Text Functions
"=TEXT(A1,""MM/DD/YYYY"")","Formats number as date string",Text Functions
"=SUBSTITUTE(A1,""old"",""new"")","Replaces all occurrences of text",Text Functions
"=TEXTBEFORE(A1,""@"")","Extracts text before delimiter (365/2021)",Text Functions
"=TEXTAFTER(A1,""@"")","Extracts text after delimiter (365/2021)",Text Functions
"=TODAY()","Returns current date (volatile)",Date Functions
"=NOW()","Returns current date and time (volatile)",Date Functions
"=YEAR(A1) / MONTH(A1) / DAY(A1)","Extracts year/month/day from date",Date Functions
"=DATEDIF(start,end,""Y"")","Difference between dates in years",Date Functions
"=EOMONTH(A1,0)","Last day of the month for given date",Date Functions
"=NETWORKDAYS(start,end)","Working days between two dates (excludes weekends)",Date Functions
"=NETWORKDAYS(start,end,holidays)","Working days excluding weekends and holidays",Date Functions
"=WORKDAY(A1,10)","Date that is 10 working days after A1",Date Functions
"=DATE(2024,12,31)","Creates a date from year/month/day components",Date Functions
"=IFERROR(formula,""fallback"")","Returns fallback value if formula errors",Error Handling
"=IFNA(formula,""not found"")","Returns fallback only for #N/A errors",Error Handling
"=ISERROR(A1)","Returns TRUE if A1 is any error",Error Handling
"What does #REF! mean?","Invalid cell reference (deleted row/column or bad formula)",Error Handling
"What does #VALUE! mean?","Wrong data type in formula (text where number expected)",Error Handling
"What does #N/A mean?","Lookup value not found",Error Handling
"What does #SPILL! mean?","Dynamic array can't expand (blocked by other data)",Error Handling
"What does #NAME? mean?","Excel doesn't recognize function name or named range",Error Handling
"What does #DIV/0! mean?","Division by zero",Error Handling
"What does #NUM! mean?","Invalid numeric value in formula",Error Handling
"What does #NULL! mean?","Incorrect range intersection (space instead of comma)",Error Handling
"INDEX/MATCH vs VLOOKUP: main advantage?","INDEX/MATCH can look LEFT; VLOOKUP only looks right",Lookups
"XLOOKUP vs VLOOKUP: key differences?","XLOOKUP: left lookup, default values, no col index needed",Lookups
"What is a volatile function?","Recalculates on EVERY sheet change (OFFSET INDIRECT NOW RAND)",Lookups
"What is a spilled array?","Dynamic array result that 'spills' into adjacent cells automatically",Lookups
"What does the $ sign do in formulas?","Makes reference absolute (doesn't change when copied)",Cell References
"Difference between A1 and $A$1?","A1 is relative (changes when copied); $A$1 is absolute (stays fixed)",Cell References
"What is $A1 vs A$1?","$A1 locks column only; A$1 locks row only (mixed reference)",Cell References
"What does F4 do while editing a formula?","Cycles through absolute/relative: A1 → $A$1 → A$1 → $A1",Cell References
"How to create a table?","Select data → Ctrl+T or Insert → Table",Tables
"What are structured references?","Table column names in formulas: =SUM(Table1[Sales])",Tables
"How to add a Total Row to a table?","Table Design tab → check Total Row",Tables
"What is a PivotTable?","Interactive summary tool that groups/aggregates data by categories",PivotTables
"How to create a PivotTable?","Select data → Insert → PivotTable → choose location",PivotTables
"What are the4 PivotTable field areas?","Rows Columns Values Filters",PivotTables
"How to group dates in PivotTable?","Right-click date field → Group → select Months/Quarters/Years",PivotTables
"What is a Slicer?","Visual clickable filter button for PivotTables/charts",PivotTables
